2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:586] Neighbor (est_mx,est_my): (39,120), Omega(uncertainty trace): 1.000000
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:598] Info gain = 262.197144
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:599] Info loss at the frontier (percent) = 0.014302
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:607] Info gain max updated = 299.420624
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:608] Info used max percent = 0.014302
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:545] ***************************************************
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:554] BetaParam : 1.198609
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:560] Frontier viewpoint world pos: 3.875000, 2.225001
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:561] Frontier viewpoint map pos: 65, 114
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:562] Frontier centroid index= 25601
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:563] Size of frontier: 3.300000 meters 
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:583] Neighboring robot positions around the frontier = 3
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:586] Neighbor (est_mx,est_my): (39,79), Omega(uncertainty trace): 1.000000
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:586] Neighbor (est_mx,est_my): (42,80), Omega(uncertainty trace): 1.000000
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:586] Neighbor (est_mx,est_my): (39,120), Omega(uncertainty trace): 1.000000
